db_id	protein_name
antitoxin_ABJ01487.1	DprA
antitoxin_AMJ60620.1	BoHicB
antitoxin_AMJ60829.1	BoVapB4
antitoxin_AMJ61033.1	BoVapB5
antitoxin_AMJ61828.1	BoHigA3
antitoxin_AMJ62076.1	BoHigA4
antitoxin_AMJ63318.1	BoRelB
antitoxin_AMJ63376.1	BoVapB1
antitoxin_AMJ63636.1	BoHigA2
antitoxin_AT10002a	RelA
antitoxin_AT10002b	GeneMarkS
antitoxin_AT10003	ATfaRel2
antitoxin_AT10004	ATphRel2
antitoxin_AT10005	ATcapRel
antitoxin_AT10006	ATphRel
antitoxin_AT10007	panA
antitoxin_AT10008	panA
antitoxin_AT10009	panA
antitoxin_AT10010	panA
antitoxin_AT10011	panA
antitoxin_AT10012	panA
antitoxin_AT10013	panA
antitoxin_AT10014	panA
antitoxin_AT10015	panA
antitoxin_AT10016	AbiEi
antitoxin_AT10019	pezA
antitoxin_AT10030	phd
antitoxin_AT10031	MntA
antitoxin_AT10032	higA
antitoxin_AT10033	vapB
antitoxin_AT10034	vapB
antitoxin_AT10035	dhiA
antitoxin_AT10036	HipS
antitoxin_AT10037	higA
antitoxin_AT10038	hipB
antitoxin_AT10040	tsbA
antitoxin_AT10041	tacA
antitoxin_AT10042	mazE
antitoxin_AT10044	PrcA
antitoxin_AT10045	SdhE
antitoxin_AT10046	AAA-ATPase
antitoxin_AT10047	AbiEi
antitoxin_AT10048	RelB
antitoxin_AT1005	relB
antitoxin_AT10050	HigA2
antitoxin_AT10051	TacA2
antitoxin_AT10052	TacA3
antitoxin_AT10053	Xress
antitoxin_AT10055	darG
antitoxin_AT10056	darG
antitoxin_AT10058	yezG
antitoxin_AT10059	yqcF
antitoxin_AT1006	paaA
antitoxin_AT10060	ywqK
antitoxin_AT10061	yokJ
antitoxin_AT10062	yobK
antitoxin_AT10063	higA
antitoxin_AT10064	ccdA
antitoxin_AT10065	phd
antitoxin_AT10066	dhiA
antitoxin_AT10067	mazE
antitoxin_AT10068	SdhE
antitoxin_AT10069	mazE
antitoxin_AT10070	dinJ
antitoxin_AT10072	yefM
antitoxin_AT10073	mazE
antitoxin_AT10074	TomB
antitoxin_AT10075	HipB2
antitoxin_AT10076	HipB3
antitoxin_AT10077	yefM
antitoxin_AT10079	PrpA
antitoxin_AT1008	paaA
antitoxin_AT10088	TfiA
antitoxin_AT10089	VapX
antitoxin_AT10090	mazE
antitoxin_AT10091	ImmA
antitoxin_AT10092	ImmA
antitoxin_AT10093	phd
antitoxin_AT10095	relB
antitoxin_AT10096	mazE
antitoxin_AT10097	PumB
antitoxin_AT10098	hipB
antitoxin_AT101	mazE
antitoxin_AT10100	PfiA
antitoxin_AT10101	mazE
antitoxin_AT10102	slvA
antitoxin_AT10104	HipB1
antitoxin_AT10105	RhsI
antitoxin_AT10106	hipB
antitoxin_AT10108	dinJ
antitoxin_AT10109	dinJ
antitoxin_AT10111	dinJ
antitoxin_AT10112	dinJ
antitoxin_AT10114	TsaA
antitoxin_AT10116	TscA
antitoxin_AT10117	TsdA
antitoxin_AT10118	EcnA
antitoxin_AT10119	parD
antitoxin_AT10120	KacA
antitoxin_AT10121	HipS
antitoxin_AT10122	hicB
antitoxin_AT10123	relB
antitoxin_AT10128	YeeU
antitoxin_AT10131	mazE
antitoxin_AT10132	hicB
antitoxin_AT10133	higA
antitoxin_AT10134	NpoA
antitoxin_AT10136	relB
antitoxin_AT10137	relB
antitoxin_AT10138	vapB
antitoxin_AT10139	relB
antitoxin_AT10140	mazE
antitoxin_AT10141	relB
antitoxin_AT10142	relB
antitoxin_AT10143	relB
antitoxin_AT10144	pezA
antitoxin_AT10145	ParS
antitoxin_AT10150	hicB
antitoxin_AT10151	TsxB
antitoxin_AT10153	higA
antitoxin_AT10157	relB
antitoxin_AT10158	relB
antitoxin_AT10159	parD
antitoxin_AT10160	pemI
antitoxin_AT10161	higA
antitoxin_AT10162	mazE
antitoxin_AT10163	parD
antitoxin_AT10164	smuA
antitoxin_AT10166	relB
antitoxin_AT10167	ORF10
antitoxin_AT10168	hicB
antitoxin_AT10169	higA
antitoxin_AT10170	ng_epsilon1
antitoxin_AT10177	mazE
antitoxin_AT10178	sam-AT
antitoxin_AT10179	phd
antitoxin_AT10180	AbiEi
antitoxin_AT10181	relB
antitoxin_AT10182	relB
antitoxin_AT10183	epsilon
antitoxin_AT10184	Fti
antitoxin_AT10185	Fic
antitoxin_AT10186	VbhA
antitoxin_AT10187	MvpA
antitoxin_AT10188	brnA
antitoxin_AT10190	relB
antitoxin_AT10191	relB
antitoxin_AT10192	LOG
antitoxin_AT10197	vagC
antitoxin_AT10198	pair
antitoxin_AT10199	YpjF
antitoxin_AT103	higA
antitoxin_AT1038	dinJ
antitoxin_AT1039	hicB
antitoxin_AT1040	hipB
antitoxin_AT1041	relB
antitoxin_AT1042	CbeA
antitoxin_AT1043	yefM
antitoxin_AT1044	mazE
antitoxin_AT1045	mqsA
antitoxin_AT1046	higA
antitoxin_AT1047	prlF
antitoxin_AT1049	chpS
antitoxin_AT105	parD
antitoxin_AT106	mbcA
antitoxin_AT1066	vapB
antitoxin_AT1067	toxA
antitoxin_AT107	vapB
antitoxin_AT1070	vapB
antitoxin_AT1076	pemI
antitoxin_AT111	vapB
antitoxin_AT112	vapB
antitoxin_AT114	vapB
antitoxin_AT116	vapB
antitoxin_AT117	vapB
antitoxin_AT119	vapB
antitoxin_AT120	novel[toxin]
antitoxin_AT121	vapB
antitoxin_AT1222	Xre
antitoxin_AT123	vapB
antitoxin_AT124	relB
antitoxin_AT125	vapB
antitoxin_AT127	higA
antitoxin_AT129	vapB
antitoxin_AT130	relB
antitoxin_AT131	vapB
antitoxin_AT132	vapB
antitoxin_AT1325	hicA
antitoxin_AT134	mazE
antitoxin_AT137	mazE
antitoxin_AT1499	pemI
antitoxin_AT1547	brnA
antitoxin_AT162	mqsA
antitoxin_AT164	parD
antitoxin_AT165	TacA
antitoxin_AT166	relB
antitoxin_AT167	BrnA
antitoxin_AT169	parD
antitoxin_AT171	higA
antitoxin_AT172	relB
antitoxin_AT1729	pasA
antitoxin_AT173	relB
antitoxin_AT174	higA
antitoxin_AT175	relB
antitoxin_AT177	TacA
antitoxin_AT178	relB
antitoxin_AT179	relB
antitoxin_AT180	parD
antitoxin_AT1818	DUF2281
antitoxin_AT182	vapB
antitoxin_AT183	AraC
antitoxin_AT1852	pemI
antitoxin_AT190	ccdA
antitoxin_AT199	ataR
antitoxin_AT200	ataR
antitoxin_AT2224	brnA
antitoxin_AT226	relB
antitoxin_AT228	parD
antitoxin_AT229	relB
antitoxin_AT233	parD
antitoxin_AT28	relB
antitoxin_AT301	higA
antitoxin_AT3011	Xre
antitoxin_AT303	higA
antitoxin_AT307	Xre
antitoxin_AT309	relB
antitoxin_AT310	yefM
antitoxin_AT313	PP_4151
antitoxin_AT314	mqsA
antitoxin_AT3165	vapB
antitoxin_AT325	higA
antitoxin_AT326	relB
antitoxin_AT3306	vapB
antitoxin_AT3484	Xre
antitoxin_AT3593	hicB
antitoxin_AT3856	vapB
antitoxin_AT4250	vapB
antitoxin_AT439	vapB
antitoxin_AT443	tacA
antitoxin_AT4502	itaR
antitoxin_AT4914	vapB
antitoxin_AT4918	relB
antitoxin_AT4922	vapB
antitoxin_AT4923	vapB
antitoxin_AT516	vapB
antitoxin_AT535	vapB
antitoxin_AT6021	mosA
antitoxin_AT6022	Axe
antitoxin_AT6023	relB
antitoxin_AT6024	epsilon
antitoxin_AT6025	ata
antitoxin_AT6029	spoIISB
antitoxin_AT6030	yxxD
antitoxin_AT6031	AbiEi
antitoxin_AT6032	PsyrA
antitoxin_AT6033	sanaA
antitoxin_AT6034	pmenA
antitoxin_AT6035	rlegA
antitoxin_AT6037	pezT
antitoxin_AT6038	ata
antitoxin_AT6075	rnlB
antitoxin_AT6078	lsoB
antitoxin_AT6080	epsilon
antitoxin_AT6081	AbkA
antitoxin_AT6083	graA
antitoxin_AT6086	shpB
antitoxin_AT6087	higA
antitoxin_AT6088	higA
antitoxin_AT6090	mazE
antitoxin_AT6091	pemI
antitoxin_AT6093	phd
antitoxin_AT6097	relB
antitoxin_AT6098	Xre
antitoxin_AT6099	GhoTS
antitoxin_AT6105	relB
antitoxin_AT6106	relB
antitoxin_AT6107	hicB
antitoxin_AT6108	hipB
antitoxin_AT6109	ccdA
antitoxin_AT6111	vagC
antitoxin_AT6112	vagC
antitoxin_AT6113	vapB
antitoxin_AT6114	relB
antitoxin_AT612	mazE
antitoxin_AT6120	pemI
antitoxin_AT6122	yefM
antitoxin_AT6124	higA
antitoxin_AT6127	relB
antitoxin_AT6128	relB
antitoxin_AT613	relB
antitoxin_AT6130	stbD
antitoxin_AT6131	relB
antitoxin_AT6134	relB
antitoxin_AT6135	pemI
antitoxin_AT6137	mazE
antitoxin_AT6138	yefM
antitoxin_AT6139	relB
antitoxin_AT614	relB
antitoxin_AT6146	higA
antitoxin_AT6157	yafN
antitoxin_AT6240	darG
antitoxin_AT6241	vapB
antitoxin_AT6245	vapB
antitoxin_AT6246	vapB
antitoxin_AT6247	mazE
antitoxin_AT6248	mazE
antitoxin_AT6249	parD
antitoxin_AT6252	mazE
antitoxin_AT6253	AbiEi
antitoxin_AT6256	relB
antitoxin_AT6257	relB
antitoxin_AT6258	mazE
antitoxin_AT6259	mazE
antitoxin_AT6260	mazE
antitoxin_AT6261	relB
antitoxin_AT6279	yjhQ
antitoxin_AT6280	sezA
antitoxin_AT6281	yefM
antitoxin_AT6283	hicB
antitoxin_AT6285	relB
antitoxin_AT6286	virA
antitoxin_AT6288	arc1
antitoxin_AT6289	relB
antitoxin_AT6297b	spoIISB
antitoxin_AT6319	AbiEi
antitoxin_AT6320	AbiEi
antitoxin_AT6367	SocA
antitoxin_AT6368	YgfX
antitoxin_AT652	vapB
antitoxin_AT655	chpI
antitoxin_AT658	hipB
antitoxin_AT659	copA
antitoxin_AT660	type II antitoxin (S. oneidensis)
antitoxin_AT663	mazE
antitoxin_AT665	relB
antitoxin_AT705	relB
